time_s,pos_fr3_joint1,pos_fr3_joint2,pos_fr3_joint3,pos_fr3_joint4,pos_fr3_joint5,pos_fr3_joint6,pos_fr3_joint7,pos_thumb_joint_0,pos_thumb_joint_1,pos_index_joint_0,pos_middle_joint_0,pos_ring_joint_0,pos_little_joint_0,vel_fr3_joint1,vel_fr3_joint2,vel_fr3_joint3,vel_fr3_joint4,vel_fr3_joint5,vel_fr3_joint6,vel_fr3_joint7,vel_thumb_joint_0,vel_thumb_joint_1,vel_index_joint_0,vel_middle_joint_0,vel_ring_joint_0,vel_little_joint_0,cmd_fr3_joint1,cmd_fr3_joint2,cmd_fr3_joint3,cmd_fr3_joint4,cmd_fr3_joint5,cmd_fr3_joint6,cmd_fr3_joint7,cmd_thumb_joint_0,cmd_thumb_joint_1,cmd_index_joint_0,cmd_middle_joint_0,cmd_ring_joint_0,cmd_little_joint_0
0,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.08620107,4.13456e-05,0.214617267,1.33299828,1.33299828,1.33299899,0,0,0,0,0,0,0,3.321431e-06,-0.000233792292,-2.71810022e-05,-2.19350131e-05,-1.78237642e-05,3.66321979e-06,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.08620107,4.13456e-05,0.214617267,1.33299828,1.33299828,1.33299899
0.0666666667,-0.522218168,0.252727538,0.125342727,-2.17866755,1.66281176,2.04939294,-1.02660179,1.07045841,0.017750293,0.157753557,1.32782352,1.32808483,1.32810473,0.0508891903,0.0456589162,-0.12224178,-0.0450903736,-0.213633299,-0.1469969,-0.145633206,-0.131549194,0.355554044,-0.660191417,2.72447069e-05,4.95102431e-05,-3.09373718e-08,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.06825066,0.0637559593,0.0897067562,1.33299983,1.33299983,1.33299983
0.133333333,-0.517627358,0.257743895,0.114436395,-2.18451023,1.64417493,2.04023004,-1.04815161,1.05239701,0.0316912271,0.0923421308,1.3273747,1.32768953,1.32771206,0.0808887258,0.0950321853,-0.1891298,-0.100579351,-0.232487738,-0.16081576,-0.35177508,-0.198057473,0.079952009,-0.891975582,3.71613423e-05,7.17764487e-05,9.0803951e-08,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.03551507,0.0684719905,0,1.33299983,1.33299983,1.33299983
0.2,-0.511736631,0.265709162,0.100833714,-2.19274855,1.63197315,2.0295198,-1.08087373,1.07132959,0.025915727,0.0463278033,1.32735646,1.32767344,1.32769108,0.0901168212,0.138267025,-0.205063984,-0.120943189,-0.148186192,-0.162103459,-0.532640696,0.306726396,2.85619753e-05,-0.524111629,-5.75131417e-05,-4.16448966e-05,0.000437934563,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.14824271,0.0871408582,0,1.33299983,1.33299983,1.33299983
0.266666667,-0.50637567,0.276662171,0.0889096782,-2.19977808,1.61605108,2.02483416,-1.10967529,1.07333958,0.0251098461,0.021466678,1.32733488,1.32764161,1.32766402,0.0721783713,0.182652861,-0.155170858,-0.0769556686,-0.223726347,-0.0453558601,-0.383673131,1.65592428e-06,-0.000220296963,-0.239260942,2.8836861e-05,0.0075889607,2.64844857e-07,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.12672269,0.0741595402,0,1.33299983,1.33299983,1.33299983
0.333333333,-0.502581835,0.290295988,0.0813171864,-2.2044909,1.60659564,2.01966095,-1.1438849,1.07572103,0.0247849766,0.010314418,1.32731128,1.32763112,1.3276453,0.0445074849,0.21757865,-0.0807621479,-0.0491185859,-0.0974246934,-0.0811043009,-0.518693268,0.0311906692,-0.00121770054,-0.112076409,0.000350476126,0.000758743612,3.70046473e-06,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.1721853,0.0906269252,0,1.33299983,1.33299983,1.33299983
0.4,-0.500454724,0.305881381,0.0781336054,-2.20725846,1.60120976,2.01520038,-1.18104124,1.08043182,0.0233954415,0.00126184488,1.32732677,1.32764554,1.32766509,0.021523796,0.238533378,-0.0200781599,-0.0235396009,-0.00285293395,-0.0426400453,-0.577393353,6.66550477e-06,0.000200254261,-0.28054288,-6.88206637e-05,-0.000134842237,1.05123036e-06,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.24616504,0.112484559,0,1.33299983,1.33299983,1.33299983
0.466666667,-0.499253541,0.322586,0.0774632245,-2.20800638,1.60058308,2.01097107,-1.22148108,1.08059001,0.0229604058,5.69449639e-06,1.3273437,1.32766271,1.32768333,0.0169575773,0.25603056,-0.00605558185,0.0167321544,-0.0044890251,-0.0810231715,-0.579817176,-5.57561725e-06,0.000540553534,2.14205265e-05,-2.06497789e-05,-3.33420467e-05,-2.51505116e-06,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.24616504,0.0914005637,0,1.33299983,1.33299983,1.33299983
0.533333333,-0.498288661,0.340219021,0.0775827244,-2.20634198,1.60195029,2.00408244,-1.26423633,1.08057761,0.0227823034,7.43045985e-06,1.32735896,1.32767618,1.32770896,0.0149919,0.266238093,0.00151702366,0.043348968,0.0444601327,-0.122550331,-0.637582421,-4.77023787e-06,8.96514393e-05,4.6344212e-08,-3.62324936e-05,-6.30858121e-05,-3.89205525e-06,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.24616504,0.0844683796,0,1.33299983,1.33299983,1.33299983
0.6,-0.497060925,0.358308047,0.0771216899,-2.20289063,1.60302162,1.99626875,-1.30619168,1.08031511,0.0225968231,1.22623915e-05,1.32738709,1.3277024,1.327739,0.0234419741,0.270362407,-0.0194728095,0.0694054514,0.0235824212,-0.137308627,-0.609580994,2.42702663e-05,7.72749772e-05,-1.25044608e-07,6.82668178e-06,-2.66311399e-05,7.53466156e-05,-0.524466753,0.250818014,0.130924493,-2.17656684,1.67904973,2.05749583,-1.01828742,1.22889507,0.0730943978,0,1.33299983,1.33299983,1.33299983
